year,month,day,hour,minute,second,microsecond,price_type,amount,base_pari,currency
(datetime.datetime(2018,1,17,23,49,26, 724498), 'Sell Price', '11127.15', 'BTC', 'USD')
(datetime.datetime(2018,1,17,23,49,26, 754644), 'Buy Price', '1010.37', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,49,26, 784280), 'Spot Price', '1001.28', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,49,26, 810497), 'Sell Price', '991.31', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,49,26, 837960), 'Buy Price', '189.46', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,49,26, 863377), 'Spot Price', '187.58', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,49,26, 914700), 'Sell Price', '184.91', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 368330), 'Buy Price', '11301.18', 'BTC', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 392188), 'Spot Price', '11200.01', 'BTC', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 415275), 'Sell Price', '11080.43', 'BTC', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 443538), 'Buy Price', '1005.33', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 472451), 'Spot Price', '999.90', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 494739), 'Sell Price', '984.15', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 522151), 'Buy Price', '188.17', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 547244), 'Spot Price', '186.30', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,50,32, 575328), 'Sell Price', '184.32', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 698792), 'Buy Price', '11315.74', 'BTC', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 729638), 'Spot Price', '11185.46', 'BTC', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 763448), 'Sell Price', '11101.92', 'BTC', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 789813), 'Buy Price', '1006.77', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 813439), 'Spot Price', '994.16', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 837660), 'Sell Price', '987.91', 'ETH', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 868693), 'Buy Price', '187.87', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 894759), 'Spot Price', '186.01', 'LTC', 'USD')
(datetime.datetime(2018,1,17,23,50,59, 922123), 'Sell Price', '184.62', 'LTC', 'USD')
